individualCount,year,decimalLatitude,decimalLongitude,vernacularName
100,2000,-36.75179,145.75163,Eastern Grey Kangaroo
100,2011,-37.34808,145.75078,Eastern Grey Kangaroo
100,2000,-35.82288,145.55712,Eastern Grey Kangaroo
100,2007,-38.58899,145.53156,Eastern Grey Kangaroo
100,1985,-36.85121,145.39783,Eastern Grey Kangaroo
100,1994,-37.96787,145.39549,Eastern Grey Kangaroo
100,1992,-37.61717,145.32148,Eastern Grey Kangaroo
100,1996,-37.61302,145.28419,Eastern Grey Kangaroo
100,1990,-37.73357,145.20878,Eastern Grey Kangaroo
100,2000,-37.62349,145.17631,Eastern Grey Kangaroo
100,1967,-37.54016,145.12631,Eastern Grey Kangaroo
100,1997,-37.62757,145.11501,Eastern Grey Kangaroo
100,1998,-37.62757,145.11501,Eastern Grey Kangaroo
100,2008,-37.56499,145.09055,Eastern Grey Kangaroo
100,2009,-37.56544,145.08997,Eastern Grey Kangaroo
100,2017,-37.56585,145.08827,Eastern Grey Kangaroo
100,2022,-37.56585,145.08827,Eastern Grey Kangaroo
100,2017,-37.562,145.07916,Eastern Grey Kangaroo
100,2020,-37.61775,145.07433,Eastern Grey Kangaroo
100,2013,-37.6123,145.06329,Eastern Grey Kangaroo
100,2005,-37.61859,145.06199,Eastern Grey Kangaroo
100,2003,-37.00565,145.05632,Eastern Grey Kangaroo
100,2008,-37.47361,145.0475,Eastern Grey Kangaroo
100,1994,-36.73033,145.03081,Eastern Grey Kangaroo
100,1999,-37.39258,145.01926,Eastern Grey Kangaroo
100,2007,-36.78543,145.00491,Eastern Grey Kangaroo
100,2007,-36.78543,145.00491,Eastern Grey Kangaroo
100,2007,-36.78694,145.00361,Eastern Grey Kangaroo
100,2007,-36.78694,145.00361,Eastern Grey Kangaroo
100,2007,-36.7911,144.99788,Eastern Grey Kangaroo
100,2006,-36.79107,144.99788,Eastern Grey Kangaroo
100,2006,-36.7927,144.99656,Eastern Grey Kangaroo
100,2005,-37.53457,144.99513,Eastern Grey Kangaroo
100,2007,-36.7775,144.98472,Eastern Grey Kangaroo
100,2009,-37.19306,144.97639,Eastern Grey Kangaroo
100,2001,-36.83391,144.97321,Eastern Grey Kangaroo
100,2013,-37.6383,144.9678,Eastern Grey Kangaroo
100,2015,-37.6383,144.9678,Eastern Grey Kangaroo
100,2019,-37.6383,144.9678,Eastern Grey Kangaroo
100,1997,-37.65575,144.86493,Eastern Grey Kangaroo
100,2004,-37.54763,144.72201,Eastern Grey Kangaroo
100,2004,-37.54763,144.72201,Eastern Grey Kangaroo
100,2017,-37.7318,144.6898,Eastern Grey Kangaroo
100,2003,-37.55051,144.68457,Eastern Grey Kangaroo
100,2003,-38.25216,144.66818,Eastern Grey Kangaroo
100,2004,-38.25216,144.66818,Eastern Grey Kangaroo
100,2004,-36.75222,144.66806,Eastern Grey Kangaroo
100,2002,-36.79119,144.65945,Eastern Grey Kangaroo
100,2006,-36.79119,144.65945,Eastern Grey Kangaroo
100,1986,-37.19016,144.49298,Eastern Grey Kangaroo
100,2003,-36.64466,144.4581,Eastern Grey Kangaroo
100,2001,-37.90308,144.43474,Eastern Grey Kangaroo
100,2002,-37.86694,144.28306,Eastern Grey Kangaroo
100,2002,-37.4235,144.27632,Eastern Grey Kangaroo
100,1981,-36.84016,144.25965,Eastern Grey Kangaroo
100,2006,-36.15793,144.22618,Eastern Grey Kangaroo
100,2010,-36.16757,144.21731,Eastern Grey Kangaroo
100,1989,-37.53981,144.11681,Eastern Grey Kangaroo
100,1998,-37.05293,144.10499,Eastern Grey Kangaroo
100,2003,-38.38306,143.99972,Eastern Grey Kangaroo
100,1991,-37.2197,143.54345,Eastern Grey Kangaroo
100,2010,-38.82885,143.52869,Eastern Grey Kangaroo
